"logFC","logCPM","F","PValue","FDR","gene"
3.61524036246167,4.06764924306298,84.2907257259847,1.61863554088559e-08,8.9386885677104e-07,"pud-3"
1.32674004644764,6.63435933711217,83.4414507379392,1.72568720956943e-08,9.47104011128507e-07,"C40H1.8"
-1.50650491506909,6.08229308297444,83.0956044693798,1.78422689442378e-08,9.73203263309556e-07,"lys-4"
1.43174351939941,6.05250933450846,83.0321440901184,1.79513367655795e-08,9.73203263309556e-07,"ZK742.4"
1.20487543514276,6.56514116276423,82.9580012673068,1.80781406003084e-08,9.74137867135404e-07,"K01C8.1"
-1.2635104219675,7.17228904199211,82.2559712783139,1.93475732441643e-08,1.03626068502328e-06,"ilys-5"
-5.5506657699897,3.19001109672952,71.6889419110297,2.10381598584595e-08,1.12006155270397e-06,"C13C12.2"
-3.72524680182272,3.95300767889628,80.554438964475,2.21597702549371e-08,1.17275307938479e-06,"lgx-1"
1.31466245760822,6.03676573170452,80.5049159482858,2.29698529435538e-08,1.2084317308943e-06,"ugt-45"
-0.735429537517821,10.3890651815928,79.8864780560846,2.44172567769479e-08,1.27702252943437e-06,"fasn-1"
-4.83497298311427,3.71869802554908,72.5484933265563,2.51179654383473e-08,1.30598731410728e-06,"Y73E7A.8"
-5.55125139182106,3.1909475310005,69.9433788076304,2.59680946662907e-08,1.34233912603483e-06,"lon-3"
-1.29362685849294,6.61344006634116,79.1470955712227,2.62894275116243e-08,1.35109421968701e-06,"C31C9.2"
0.948283677594498,7.29059861455129,78.7805577039012,2.72729486568118e-08,1.39358497992939e-06,"wdr-12"
1.13266824725511,6.72566146461975,77.8107250353963,3.00824688766091e-08,1.52107201824597e-06,"W07E6.2"
-4.22419555063568,3.53143884869391,73.6043572177189,3.01889562897742e-08,1.52107201824597e-06,"C14F11.6"
-4.87742566912651,3.75698072384244,70.9511976168567,3.02811547890605e-08,1.52107201824597e-06,"R02E4.3"
-1.49071344493181,6.95747529832604,76.367274474915,3.48708036871072e-08,1.73721168689022e-06,"cpz-1"
-1.146063689797,6.37835823197692,76.3387910978874,3.49747938312169e-08,1.73721168689022e-06,"acn-1"
-1.83075634097828,4.83520898662373,74.0406568243399,4.45229727631041e-08,2.19571951730113e-06,"tre-5"
-2.4277961488911,4.4649283911478,74.0585250112806,4.46997224869535e-08,2.19571951730113e-06,"Y71G12B.25"
-7.46611577419547,3.19090005897813,82.9997582263002,4.54792616038925e-08,2.22173689516598e-06,"Y75B7AR.1"
-2.14315279706369,4.98944629766849,73.361780747431,4.78573058740727e-08,2.32513282254853e-06,"T27A10.6"
0.880020823455457,7.31124422427284,72.6916042141336,5.13259369845355e-08,2.48010274852992e-06,"ech-7"
-0.775146598255558,8.48121853903489,71.5932295641889,5.7784770994198e-08,2.77710485896981e-06,"cah-4"
-4.0909635362719,3.09662122428269,64.9169589531967,6.31084255405641e-08,3.01665059936105e-06,"Y43F8B.3"
-7.58823700932904,3.29585954519315,79.0137791228901,6.51023876132309e-08,3.09532261106543e-06,"R02F11.1"
