"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ptr-10",11.5458434975642,-2.8903693030525,0.817622942185569,2.08079862690035e-05,0.000844129388912819
"ptr-13",93.3047832484381,0.840722074694066,0.225685236286953,0.00041340443790379,0.0120880531420829
"ptr-18",27.3430169231997,-1.54599442158475,0.493604683213281,5.57986369041199e-05,0.00197067656454315
"pyr-1",364.807555199406,0.800881774917555,0.148311952643926,3.10946760038634e-05,0.00116682771704497
"qua-1",61.3757376705264,-5.74559018918614,0.628106120488662,7.97080613556716e-19,2.65805498658086e-16
"rad-50",107.244366907099,0.845223958439597,0.211522180072917,0.000256473214014963,0.00780337082911743
"rol-6",55.3923384517431,-6.88417681894795,1.01766569281164,7.79819733268703e-12,8.43586486272105e-10
"rol-8",82.0883091691276,-6.10741871490618,0.723119405744074,1.38766823015361e-16,2.97555716208652e-14
"rop-1",376.739565078569,0.699239674580195,0.12069418905403,8.4546636106804e-05,0.00284114554021596
"sqt-1",110.168044316517,-9.41341775757351,1.22212054735994,9.97641297750361e-16,1.95320815816082e-13
"sqt-2",76.8890156146457,-7.34576485405327,1.01559718132248,2.36432967427522e-13,3.37989667457309e-11
"sqt-3",90.5042283237728,-7.56694005118917,1.01947615767757,5.18182946828215e-14,8.48501021660891e-12
"sur-5",505.915192205901,0.666740857769636,0.125662214435568,0.000351159734154026,0.010403107124313
"sym-1",158.781599857235,-4.20307310176692,0.254963659666669,5.89390326639809e-53,1.06160985634362e-49
"tag-151",344.609769567271,1.02503443941489,0.14005070671565,6.01891743417553e-09,4.29008411616987e-07
"tgt-2",59.6213203771417,0.860220347537572,0.274532192109663,0.000816997208280839,0.0216408142875801
"tps-2",297.789204369018,-0.766516074781116,0.141842694416978,5.2725737949639e-05,0.00187686954930612
"tre-5",38.6755466058341,-1.70003713658865,0.348483581745626,4.88937968145157e-07,2.32982822281232e-05
"vap-1",211.85986412569,-0.761040084465068,0.150858815367998,0.000112650225943084,0.00364938106058782
"wrt-1",37.4167939099195,-5.02766250643389,0.652469574712073,1.02342227451111e-13,1.56219339055035e-11
"wrt-2",25.1544443945548,-6.49361706665537,1.17856684328327,1.37308019426799e-08,8.64752463606821e-07
"wrt-4",14.4310237879431,-5.71369172322781,1.21289759508612,7.67724682446742e-07,3.60110858860175e-05
"wrt-9",11.6720548027714,-3.55869941009939,2.10257286237591,0.000295426854044667,0.00895829712971807
"wrt-10",48.9183492443461,-6.27877157023873,0.852032127363223,2.74537388009325e-13,3.80382110217228e-11
"zig-4",151.205436866764,3.00445730080083,0.208274935834155,1.55425925026184e-38,2.33294313464301e-35
"B0024.11",131.716138079506,0.69981520237981,0.175862149294157,0.00132069103341724,0.0329477657810406
"B0393.5",11.9564210341006,-2.52048077872329,0.808626238994191,4.07442318497765e-05,0.00150386291819298
"C05C10.2",101.975681433462,0.904536445990729,0.214889925723027,0.000101823410770725,0.00334679429708449
"cyp-35C1",164.813453380688,1.76006349152007,0.178780127972723,5.77035943896248e-18,1.4373050867958e-15
"pro-2",311.456504723994,1.0420211315372,0.137463898768133,1.87813232151277e-09,1.45814307651242e-07
"ugt-22",916.84122259947,0.983621573679802,0.100124488147958,4.59649537021822e-13,6.08765254473314e-11
"C09F9.2",113.541078504036,-2.84687921915455,0.221774634141245,1.15845720523571e-30,1.1592295100392e-27
"dyf-4",10.8770526311164,-5.29794224272339,1.27682413717981,4.55573411331313e-06,0.000201122261884794
"C29F3.7",409.059212686037,1.19547796217749,0.132945198532654,6.81451976604339e-13,8.64388239619532e-11
"C29F7.2",359.227873471539,1.41848683828986,0.127262115376406,9.19338676024133e-20,3.44981838178056e-17
"phdh-1",137.166975154826,-1.20054766979407,0.19581888101387,7.61206379701444e-08,4.20578199729522e-06
"irg-6",55.8497077064198,0.853117813327709,0.285895531089099,0.00103201712927577,0.0267848595569383
"lgc-21",15.1742084505329,-2.16360802799454,0.696324512001459,3.98830426874155e-05,0.00147813449564965
"C34F6.1",21.6831214692999,-4.21959867339494,0.659177553882809,7.82230767396476e-10,6.58389746838566e-08
"tag-297",24.0671811156694,-5.2757346512352,0.869038804884498,1.93993120551731e-09,1.4932496099905e-07
"C40H1.8",141.159099472332,1.25111918998473,0.191441606021676,1.33957596404596e-08,8.49593037478729e-07
"sdz-8",27.07302045277,0.926231062159586,0.419693194722108,0.00147246709899183,0.0360354312323923
"D1054.9",12.4065577518517,-2.8283359317493,0.77486410074859,1.65187776459278e-05,0.000680984184982046
"D2030.2",433.582263633374,-0.760461487933499,0.13907376918654,5.13882630232434e-05,0.00185121078714932
"E01G6.1",22.0898743384413,-4.19759331091329,0.879350004467966,1.24891533281576e-06,5.76806742940449e-05
"scl-24",43.9336684071799,1.22871391372844,0.328580294913084,3.98057562519211e-05,0.00147813449564965
"F08G2.5",13.9791092991461,3.61714396240583,0.707303788141239,4.40530506673099e-07,2.1422056592448e-05
"irg-4",1003.57789922059,1.3712058671315,0.0986071221956933,2.87267107734132e-28,2.58712757225359e-25
"oac-14",177.328936982887,-0.853565228080729,0.17661468132394,4.96065898920903e-05,0.00179420461272356
"mlt-9",39.1266673409859,-1.01159818571086,0.35288989520555,0.000470408736775124,0.0135351472312996
"F10D11.6",50.1070345011659,-4.27851922213817,0.458669020736693,1.54410746703991e-18,4.63541061605382e-16
"cyp-13A12",27.1856532044261,0.984951766247833,0.431369398986458,0.00105211468814928,0.027072413947064
"F15B9.8",16.684527857556,-3.60139167755904,0.673831016654128,1.83260094897955e-07,9.48528973937348e-06
"F16C3.2",26.740723334176,-1.40602232490913,0.472383000206933,9.89219877643335e-05,0.00327533610957936
"F19H8.2",54.8152471314327,-1.86986391503446,0.284858585771133,4.51881227468232e-10,3.91311762940278e-08
"mltn-9",14.2915632867048,-2.72653125983093,0.68282534201687,7.78158962328455e-06,0.000332137422499055
"F23H12.5",53.5212278816897,-1.96767439632804,0.30009535364292,4.12209346118562e-10,3.60423045742114e-08
"bed-3",17.8713310434171,-1.56693025378383,0.625825321334704,0.000166768088951772,0.00521497711492938
"acs-2",258.958269788713,-1.41351835910979,0.181717971965886,2.17170421989393e-11,2.22254184140508e-09
"fasn-1",1914.2647731367,-0.691241550410452,0.0935827674659203,4.15449453318067e-06,0.000186146158038931
"bigr-1",120.157839032042,0.737344733904508,0.193471816799276,0.00104106672662912,0.0268648909456213
"fip-5",48.9337338877501,-0.809124378654383,0.310255894298979,0.00204692143164554,0.0485120379299994
"fipr-21",284.901471212632,-1.24497379934543,0.150431492446984,1.13512709490261e-11,1.18871565310383e-09
