"","Aux_rep1_RNA","Aux_rep2_RNA","Aux_rep3_RNA","noAux_rep1_RNA","noAux_rep2_RNA","noAux_rep3_RNA"
"mdt-20",0.941881310541076,3.58526039160355,0,0,0.929475838212023,2.64396044511519
"immp-1",0.941881310541076,0,0.804965663543983,2.07846340269163,0,1.3219802225576
"mdt-22",1.88376262108215,0.896315097900887,5.63475964480788,7.27462190942072,3.71790335284809,0
"mdt-27",6.59316917378753,2.68894529370266,7.24469097189585,8.31385361076654,6.50633086748416,11.8978220030184
"plin-1",34.8496084900198,44.8157548950443,49.102905476183,39.490804651141,34.3906060138448,31.7275253413823
"mdt-29",16.0119822791983,14.3410415664142,14.4893819437917,15.5884755201873,15.8010892496044,23.7956440060367
"mdt-31",1.88376262108215,0,1.60993132708797,2.07846340269163,0,0
"ssl-1",167.654873276312,164.025662915862,169.84775500778,194.336328151668,133.844520702531,177.145349822718
"trr-1",121.502689059799,90.5278248879896,92.571051307558,112.237023745348,94.8065354976263,138.807923368548
"mys-1",6.59316917378753,8.96315097900887,16.0993132708797,9.35308531211235,5.57685502927214,6.60990111278798
"epc-1",266.552410883125,201.6708970277,254.369149679899,201.610950061089,251.887952155458,281.581787404768
"tag-180",26.3726766951501,16.133671762216,13.6844162802477,14.5492438188414,23.2368959553006,25.1176242285943
"pbrm-1",95.1300123646487,85.1499343005843,98.2058109523659,140.296279681685,119.902383129351,132.19802225576
"algn-10",4.70940655270538,1.79263019580177,2.41489699063195,7.27462190942072,2.78842751463607,5.28792089023038
"cpna-5",17.8957449002804,42.1268096013417,33.0035922053033,35.3338778457578,26.0253234699366,27.7615846737095
"tag-189",1.88376262108215,1.79263019580177,0,2.07846340269163,2.78842751463607,0
"wts-1",7.53505048432861,9.85946607690976,16.0993132708797,13.5100121174956,4.64737919106011,3.96594066767279
"nfx-1",11.3025757264929,32.2673435244319,19.3191759250556,20.7846340269163,12.0831858967563,11.8978220030184
"utp-20",206.272007008496,171.196183699069,164.212995362973,154.845523500527,147.786658275712,181.111290490391
"chd-7",218.51646404553,136.239894880935,167.432858017148,150.688596695143,162.658271687104,174.501389377603
"scpl-1",23.5470327635269,33.1636586223328,21.7340729156875,16.6277072215331,16.7305650878164,22.4736637834791
"tag-196",37.675252421643,25.0968227412248,30.5886952146714,43.6477314565243,41.826412719541,14.5417824481336
"dmd-6",99.8394189173541,138.032525076737,139.259059793109,61.3146703794032,92.9475838212023,74.0308924632254
"vps-52",8.47693179486968,4.48157548950443,4.8297939812639,11.431548714804,0,1.3219802225576
"rga-9",11.3025757264929,10.7557811748106,7.24469097189585,10.3923170134582,3.71790335284809,11.8978220030184
"cTel55X.1",21.6632701424447,39.437864307639,27.3688325604954,31.1769510403745,32.5316543374208,23.7956440060367
"ugt-49",7.53505048432861,10.7557811748106,11.2695192896158,17.6669389228789,13.9421375731803,14.5417824481336
"AC3.5",60.2804038746289,41.2304945034408,46.688008485551,53.0008167686367,71.5696395423257,84.6067342436861
"ugt-1",11.3025757264929,9.85946607690976,6.43972530835186,9.35308531211235,10.2242342203322,5.28792089023038
"ugt-2",11.3025757264929,17.9263019580177,10.4645536260718,14.5492438188414,5.57685502927214,9.25386155790317
"B0001.3",16.0119822791983,7.1705207832071,3.21986265417593,18.7061706242247,26.0253234699366,7.93188133534558
"B0001.4",7.53505048432861,3.58526039160355,4.02482831771991,6.2353902080749,4.64737919106011,10.5758417804608
"B0001.5",15.0701009686572,8.06683588110798,12.0744849531597,5.19615850672908,13.9421375731803,14.5417824481336
"eri-12",81.0017927065325,56.4678511677559,55.5426307845348,53.0008167686367,52.9801227780853,51.5572286797462
"B0001.8",5.65128786324646,6.27420568530621,9.6595879625278,3.11769510403745,2.78842751463607,9.25386155790317
"B0019.2",3.7675252421643,4.48157548950443,1.60993132708797,0,2.78842751463607,6.60990111278798
"trx-2",19.7795075213626,5.37789058740532,17.7092445979676,12.4707804161498,12.0831858967563,15.8637626706912
"asps-1",9.41881310541076,7.1705207832071,4.8297939812639,7.27462190942072,1.85895167642405,9.25386155790317
"B0024.11",25.4307953846091,19.7189321538195,19.3191759250556,11.431548714804,13.9421375731803,18.5077231158063
"B0024.13",0.941881310541076,0.896315097900887,9.6595879625278,1.03923170134582,2.78842751463607,1.3219802225576
"crm-1",31.0820832478555,30.4747133286302,34.6135235323913,17.6669389228789,27.8842751463607,38.3374264541703
"znf-207",5.65128786324646,6.27420568530621,4.02482831771991,14.5492438188414,9.29475838212023,2.64396044511519
"B0035.3",0.941881310541076,3.58526039160355,0.804965663543983,0,2.78842751463607,0
"pfd-4",15.0701009686572,5.37789058740532,11.2695192896158,8.31385361076654,8.3652825439082,7.93188133534558
"gspd-1",63.1060478062521,79.7720437131789,71.6419440554145,31.1769510403745,48.3327435870252,52.8792089023038
"edg-1",1.88376262108215,3.58526039160355,2.41489699063195,2.07846340269163,5.57685502927214,0
"leo-1",29.1983206267734,74.3941531257736,33.8085578688473,33.2554144430661,26.9547993081487,31.7275253413823
