"","Aux_rep1_ribo","Aux_rep2_ribo","Aux_rep3_ribo","noAux_rep1_ribo","noAux_rep2_ribo","noAux_rep3_ribo"
"apm-3",35.246989004583,38.1177320814797,45.5257851052271,21.2715720636757,32.5584685753099,38.424405937621
"aps-3",52.4185990324568,54.4539029735425,56.1131769901637,54.1458197984471,60.915844431225,71.3596110270105
"apt-9",34.3432200557476,35.939575962538,39.1733499742652,24.1722409814496,21.0054635969741,20.1270697768491
"aqp-1",262.99676411112,233.062704726762,219.159012018186,295.868229612943,281.473212199453,259.822173482961
"aqp-2",1040.23806010962,1276.39948569984,1311.77785454364,1087.75084416523,1242.47317176102,1148.15784408844
"aqp-4",180.753789767093,219.993768013112,248.803709296009,199.179265687145,183.797806473524,214.99369988907
"aqp-7",969.744082100452,1048.78217127043,1066.15036281311,1032.63813472753,974.6535108996,1018.24675734696
"aqp-8",105.740967013749,116.531352363381,101.638962095391,121.828094546506,109.228410704265,103.379949308361
"aqp-9",62.3600574696469,46.8303565572465,37.0558715972779,33.8411373740295,35.709288114856,35.6798055135052
"aqp-10",88.5693569858754,84.9480886387262,102.697701283884,109.258529236152,93.4743130065349,107.039416540516
"aqp-11",202.444244539144,252.666109797237,235.040099845591,197.245486408629,209.004362789893,207.674765424761
"arc-1",29.8243753115703,43.563122378834,52.9369594246827,42.5431441273513,52.5136589924353,42.998739977814
"ard-1",271.130684650639,250.487953678295,297.505711966717,229.152844504142,234.210919106262,282.693843683926
"arf-1.2",380.48672745973,443.254770204636,434.083067282398,470.875254318638,441.114735536457,469.3266725238
"arf-3",302.76259785988,319.099871424959,286.91832008178,400.292310652806,384.399983824627,380.584592144056
"arf-6",59.6487506231405,50.0975907356591,53.9956986131763,60.914047273253,66.1672103304685,57.6366089064315
"ark-1",129.238959683471,131.778445195973,125.989963430745,117.960535989474,112.379230243812,111.613750580709
"arl-1",50.6110611347859,44.6522004383048,39.1733499742652,59.947157633995,66.1672103304685,53.0622748662386
"arl-3",19.8829168743802,17.4252489515336,19.0573053928858,17.4040135066437,32.5584685753099,17.3824693527333
"arl-5",16.2678410790383,19.6034050704753,13.7636094504175,15.4702342281278,17.854644057428,17.3824693527333
"arl-8",117.48996334861,102.37333759026,116.461310734302,118.927425628732,120.781415682601,111.613750580709
"arr-1",50.6110611347859,56.6320590924842,46.5845242937208,43.5100337666093,54.6142053521327,42.998739977814
"aars-1",52.4185990324568,35.939575962538,42.3495675397462,29.9735788169975,33.6087417551586,37.5095391295824
"aars-2",373.256575869046,345.237744852259,363.147541653323,333.576925544005,354.992334788863,306.48038069293
"art-1",582.027203050038,641.46697702833,589.717727990965,554.027763294825,511.48303858632,610.216160961743
"arx-1",154.544490250864,167.718021158511,171.515748535972,131.496990939086,132.334420660937,149.123289710291
"arx-2",145.506800762509,124.154898779677,131.283659373213,123.761873825022,165.943162416096,133.570553973635
"arx-3",143.699262864839,163.361708920627,152.458443143086,160.503680116825,162.792342876549,172.909826719295
"exos-4.2",61.4562885208115,50.0975907356591,55.05443780167,45.4438130451253,36.7595612947047,35.6798055135052
"arx-5",70.4939780091661,89.3044008766096,63.5243513096192,79.2849504191547,67.2174835103172,82.3380127234736
"arx-6",46.0922163906086,35.939575962538,44.4670459167335,42.5431441273513,42.0109271939483,52.1474080582
"arx-7",48.803523237115,39.2068101409506,60.3481337441383,57.0464887162211,56.7147517118302,50.3176744421228
"asb-1",78.6278985486853,66.4337616277218,78.3466999485304,56.0795990769631,51.4633858125866,72.2744778350491
"asb-2",771.818682305485,871.26244757668,1002.62601150349,871.167564971444,806.609802123807,929.504676967213
"trip-4",29.8243753115703,28.3160295462421,42.3495675397462,28.0397995384816,33.6087417551586,42.998739977814
"asg-1",168.101024483396,177.519723693748,218.100272829693,180.808362541243,164.892889236247,193.951763304182
"asg-2",261.189226213449,250.487953678295,247.744970107515,282.331774663331,266.769387681571,301.906046652737
"asm-1",72.301515906837,76.2354641629595,68.8180472520875,97.6558535650564,92.4240398266862,62.2109429466245
"asm-2",38.8620647999249,33.7614198435963,31.7621756548096,31.9073580955135,35.709288114856,20.1270697768491
"asm-3",21.6904547720511,11.9798586541793,14.8223486389112,23.2053513421916,11.5530049783358,5.48920084823158
"asp-1",3826.55772936935,3658.21320176258,3975.56565279367,2921.94048983763,3014.28402616579,3797.61212016821
"asp-2",1439.70393549489,1397.2871503011,1522.46695305387,1341.07592965082,1262.42836217815,1440.00035585275
"asp-3",4040.75097024335,3752.96299293655,4046.50117842274,4120.88364251753,3840.84901870672,4218.45085186596
"asp-4",360.60381058535,360.484837684851,365.265020030311,484.41170926825,503.08085314753,485.794275068494
"asp-5",1512.00545140173,1385.30729164692,1461.06008012124,1547.02342281278,1332.79666522801,1694.33332848748
"asp-6",1427.95493916003,1360.25849627909,1526.70190980785,1170.90335314142,1236.17153268193,1580.88984429069
"atf-5",5.42261369301278,0,6.35243513096192,4.83444819628992,16.8043708775793,11.8932685045017
"atf-6",55.1299058789632,47.9194346167174,52.9369594246827,62.847826551769,57.7650248916789,61.2960761385859
"atf-7",573.893282510519,618.596337779442,546.309421262725,786.081276716742,737.291772253792,684.32037241287
"atgp-1",322.64551473426,322.367105603371,296.446972778223,373.219400753582,366.545339767199,300.991179844698
"atgp-2",204.251782436815,213.459299656286,166.222052593504,208.848162079725,266.769387681571,205.845031808684
"atl-1",139.180418120661,130.689367136502,133.4011377502,46.4107026843833,78.770488488653,56.7217420983929
"atm-1",130.142728632307,137.223835493327,102.697701283884,98.6227432043144,120.781415682601,125.336752701288
"atn-1",635.34957103133,570.676903162725,662.770731997027,651.683616859882,585.002161175729,619.364829042129
"atp-2",2787.22343820857,2569.13514229173,2877.65311432575,2547.75419944479,2605.72775920464,2826.02357003122
"atp-3",619.081729952292,570.676903162725,622.538642834268,613.008031289562,566.097243938453,667.852769868175
"atx-2",308.185211552893,303.852778592367,328.209148433033,303.603346727007,346.590149350073,311.969581541161
"avr-14",96.7032775253945,72.9682299845469,74.1117431945558,53.1789301591892,78.770488488653,84.1677463395508
"avr-15",79.5316674975207,81.6808544603137,84.6991350794923,107.324749957636,96.625132546081,99.7204820762069
"baf-1",232.268619850714,230.88454860782,281.624624139312,134.39765985686,133.384693840786,161.016558214793
"bag-1",177.138713971751,151.381850266448,143.988529635137,247.523747650044,204.803270070498,212.249099464954
"bam-2",173.523638176409,151.381850266448,140.812312069656,151.801673363504,149.138791538516,134.485420781674
"bar-1",28.9206063627348,33.7614198435963,24.351001335354,25.1391306207076,26.2568294962177,24.7014038170421
"bas-1",149.121876557851,115.44227430391,149.282225577605,134.39765985686,113.42950342366,125.336752701288
"pah-1",283.783449934335,306.030934711309,357.853845710855,166.305017952373,232.110372746564,247.928904978459
"bca-1",286.494756780842,280.982139343479,211.747837698731,351.947828689906,307.730041695671,333.926384934087
"bcc-1",24.4017616185575,17.4252489515336,11.6461310734302,10.6357860318378,17.854644057428,20.1270697768491
"bec-1",178.042482920586,156.827240563802,125.989963430745,157.603011199052,119.731142502753,134.485420781674
"ben-1",187.080172408941,190.588660407399,202.219185002288,175.007024705695,186.94862601307,175.65442714341
"bir-1",37.9582958510894,34.8504979030672,32.8209148433033,31.9073580955135,34.6590149350073,38.424405937621
"bli-3",116.586194399775,135.045679374385,109.050136414846,137.298328774634,160.691796516852,130.825953549519
"bli-4",98.5108154230655,90.3934789360805,96.3452661529225,126.662542742796,139.686332919878,123.50701908521
"bmk-1",76.8203606510143,70.7900738656052,56.1131769901637,96.6889639257985,92.4240398266862,84.1677463395508
"bpl-1",84.9542811905335,59.8992932708967,66.7005688751002,51.2451508806732,55.6644785319814,61.2960761385859
"bra-1",27.1130684650639,29.4051076057129,34.9383932202906,47.3775923236412,29.4076490357638,27.4460042411579
"F23H11.5",376.871651664388,477.016190048232,479.608852387625,475.709702514928,413.80763286039,464.752338483607
"brc-1",14.4603031813674,14.158014773121,11.6461310734302,18.3709031459017,16.8043708775793,17.3824693527333
"brd-1",15.3640721302029,19.6034050704753,21.1747837698731,24.1722409814496,26.2568294962177,14.6378689286175
