gene_symbol,Aux_rep1_RNA,Aux_rep2_RNA,Aux_rep3_RNA,noAux_rep1_RNA,noAux_rep2_RNA,noAux_rep3_RNA
prp-3,31,26,41,22,40,28
M03C11.8,31,31,24,19,29,18
M04B2.2,3,11,2,6,4,8
M04B2.4,12,18,19,17,22,12
M04B2.6,0,3,1,2,3,0
M04C3.1,10,3,9,18,10,7
M04C3.2,4,4,6,3,2,0
M04C9.1,1,0,3,1,2,1
M04C9.3,0,4,3,1,1,2
xbx-3,1,0,4,0,4,1
tag-260,18,28,34,14,29,21
somi-1,74,87,94,62,69,45
let-522,2,2,2,1,8,1
M05B5.4,5,0,7,5,8,1
trpa-2,0,1,4,0,4,0
M05D6.2,13,35,35,13,23,20
lact-4,15,8,16,21,14,10
M05D6.5,7,8,5,5,13,8
M05D6.6,11,17,6,8,12,13
atg-7,13,21,11,13,16,22
M7.8,0,3,3,1,1,1
M7.12,9,1,4,12,7,8
dlc-2,7,4,6,1,10,4
M18.3,1,6,3,1,2,1
ddb-1,85,67,92,40,47,32
M18.6,1,2,1,4,2,2
dhhc-6,2,2,6,2,8,1
M28.5,133,158,171,76,104,81
lact-3,15,33,18,11,12,8
M28.8,5,1,2,3,0,0
M28.10,13,47,28,26,28,28
M79.2,4,3,5,21,4,4
ugt-62,82,84,92,36,64,30
mrps-34,8,12,26,15,10,4
imph-1,50,76,73,36,46,46
cisd-3.1,6,3,13,7,5,3
M106.2,7,12,8,7,12,12
M106.3,26,40,38,19,42,29
gmps-1,54,59,58,42,61,46
M110.3,4,5,10,5,0,0
M117.1,23,18,16,17,19,11
M142.5,5,3,0,4,5,1
rle-1,42,52,45,38,50,53
M153.1,1,4,7,2,4,3
M153.2,8,4,3,2,4,0
M163.1,30,16,23,29,34,25
ztf-14,7,17,9,9,8,4
gss-1,9,6,8,19,19,12
chch-3,39,26,33,25,41,16
M176.4,18,12,6,8,21,14
M176.5,13,9,20,6,7,2
chil-13,2,2,4,5,3,2
M176.11,2,6,2,0,5,1
nduo-6,43,14,21,25,29,7
ndfl-4,9,3,5,8,14,3
atp-6,150,90,128,140,116,68
nduo-2,104,63,109,64,54,50
ctc-3,463,247,382,391,371,203
nduo-4,119,69,139,90,75,66
ctc-1,923,516,817,729,711,467
ctc-2,285,125,205,247,265,146
nduo-3,38,25,46,67,41,25
glb-20,6,5,8,1,7,5
R01H10.4,1,2,6,8,6,1
R01H10.7,14,6,23,10,16,3
R02D5.1,8,12,20,7,7,4
R02D5.3,5,5,9,7,2,3
mocs-1,2,3,3,5,4,0
nkat-3,9,11,16,11,19,12
R03A10.5,4,3,2,3,1,3
sprr-1,4,0,6,1,1,0
metr-1,207,282,270,364,347,322
tceb-3,19,11,22,13,22,15
vha-20,214,207,284,206,226,190
lgc-25,3,2,8,2,2,1
R03G8.3,0,2,7,4,5,1
R04B5.5,1,4,6,0,2,4
R04B5.6,14,15,3,5,3,5
ugt-47,5,1,2,2,0,3
cyp-14A4,4,2,0,2,1,0
R04F11.2,153,124,229,150,212,127
R04F11.3,6,11,7,10,14,5
R04F11.5,1,2,4,0,1,0
R05A10.1,28,33,59,42,48,30
R05A10.2,14,6,16,16,6,8
R05A10.3,9,7,5,4,13,3
R05A10.4,1,0,3,2,1,2
R05D7.1,20,10,20,18,21,6
R05D7.3,0,4,2,2,2,3
abhd-11.2,2,9,3,8,3,3
R05D7.5,5,2,4,2,8,2
ddx-52,75,70,70,25,51,40
R05D11.5,17,27,30,14,23,12
paxt-1,12,11,8,7,7,1
snrp-27,8,3,4,2,4,3
edc-3,27,17,12,10,14,3
R05D11.9,4,16,10,10,9,3
R05H5.3,3,14,9,12,10,8
R05H5.5,0,8,5,8,14,2
R05H10.1,16,39,42,20,12,10
rbm-28,41,43,62,32,50,27
R05H10.3,3,4,18,4,2,6
gpx-2,18,15,22,17,28,15
R06A4.2,9,4,3,4,5,0
agl-1,27,77,32,52,51,39
pfs-2,36,42,43,13,26,13
arrd-13,5,2,7,5,11,5
arrd-14,12,9,10,11,19,12
fdps-1,0,6,6,9,5,1
R06C1.4,62,59,78,63,55,31
R06C1.6,34,42,35,27,41,14
wago-1,9,6,11,8,12,1
adsl-1,41,42,25,25,24,20
vps-11,27,34,32,19,30,21
set-14,1,6,8,6,2,3
msrp-7,32,38,27,18,41,28
R06F6.8,29,32,38,17,27,37
tag-209,14,20,13,8,9,9
scav-5,2,4,8,4,10,7
glo-1,2,8,4,1,0,1
kmo-1,2,6,1,10,2,5
R07B7.6,5,0,0,9,12,0
R07B7.8,4,0,0,1,2,1
R07B7.9,2,1,1,1,1,2
R07B7.10,5,2,5,6,1,2
gana-1,8,5,4,13,13,7
nhr-209,5,7,4,2,1,0
R07E3.1,88,62,108,111,96,49
acl-5,16,17,8,21,10,7
R07E3.6,0,0,1,9,13,2
R07E3.7,1,1,5,0,1,0
R07E5.1,7,11,12,1,15,5
prdx-3,51,58,51,58,57,40
snfc-5,12,17,19,14,11,11
R07E5.4,4,4,2,1,4,10
R07E5.7,9,9,22,5,13,13
pdcd-2,46,41,51,30,35,7
mpc-1,368,587,501,268,347,317
cpt-2,37,29,45,35,29,25
nuaf-3,5,6,9,7,10,1
R07H5.8,150,203,250,234,257,212
R08A2.7,1,0,3,1,2,2
R08B4.3,4,3,0,2,0,1
R08D7.1,11,4,14,6,7,2
rpap-2,7,7,7,5,7,2
R08D7.4,3,1,2,3,5,5
R08D7.5,3,2,3,6,0,2
pde-2,68,54,69,70,67,58
R08D7.7,0,2,2,0,0,0
R09A8.5,27,56,32,28,32,33
rbm-3.1,1,0,4,2,3,8
rbm-3.2,264,256,288,258,244,193
chil-22,1,1,0,1,1,2
R09H10.3,31,14,31,16,15,3
R09H10.5,228,246,317,223,204,143
R09H10.7,1,0,0,2,2,0
R10D12.1,12,20,20,17,25,19
swt-6,3,0,2,0,3,0
algn-13,1,0,1,0,2,1
R10D12.13,5,0,1,0,0,0
sao-1,25,18,29,14,30,7
R10E4.1,11,6,10,11,13,7
R10E4.9,1,0,6,8,1,0
R10E4.11,1,1,2,2,5,0
R10E8.3,1,5,3,11,4,1
R10E8.8,1,3,0,1,3,1
usp-46,5,7,15,10,1,4
R10E11.5,3,8,5,9,15,0
R10E11.6,11,21,24,10,13,6
R10E12.2,4,8,3,11,9,2
R10H10.3,22,24,39,41,30,6
R10H10.6,0,1,1,5,0,2
R10H10.7,3,4,3,6,6,3
slc-25A21,0,1,3,1,2,1
nud-2,26,19,37,27,39,32
R11A5.3,2,0,0,2,0,1
pck-2,410,516,436,519,585,369
suro-1,0,4,4,6,9,11
gkow-1,11,5,11,5,10,9
pges-2,23,40,58,18,31,25
mask-1,142,90,119,99,93,72
R11D1.1,11,4,18,7,14,7
R11D1.3,0,0,2,1,0,1
mrpl-49,5,14,14,12,6,6
R11D1.10,18,19,19,9,8,2
R11H6.2,13,39,21,22,12,4
glb-22,2,4,6,3,7,4
R11H6.5,2,5,7,1,6,0
R12G8.1,8,5,5,1,2,5
best-15,0,0,1,1,5,1
miz-1,24,28,35,36,48,30
pho-8,1,5,4,3,3,1
R13H4.5,5,13,14,8,8,4
pde-12,6,6,4,1,0,2
R17.3,8,5,5,2,1,2
R31.2,34,31,40,31,46,21
flad-1,10,4,19,8,12,5
dtmk-1,6,7,4,6,10,8
R53.4,257,241,321,226,274,166
R53.5,4,11,11,7,10,4
aakg-5,20,19,27,19,22,7
asd-1,20,41,30,35,32,29
pelo-1,4,3,4,5,3,5
R74.7,17,41,38,28,38,17
R74.8,16,16,16,13,9,3
ttbk-7,27,19,27,29,38,15
ttr-27,14,4,6,7,9,8
ttr-28,1,2,0,1,0,0
ttr-29,0,0,0,1,3,4
glb-24,8,6,9,14,5,4
R102.2,46,61,79,42,77,37
R102.4,13,9,25,20,12,13
allo-1,27,21,43,25,30,10
R107.2,6,9,5,3,5,8
ikke-1,47,38,40,50,54,30
R107.5,265,224,312,153,201,126
R166.2,27,18,37,21,42,20
R166.3,5,5,5,3,7,0
mnk-1,296,329,282,435,419,312
R186.1,1,0,3,1,0,0
R186.3,11,2,6,7,10,3
mpst-7,2,3,6,4,4,3
pnn-1,19,13,23,20,20,16
R186.8,3,3,2,2,2,0
T01B7.5,65,41,34,17,47,12
trcs-2,36,37,37,16,34,3
T01C1.4,0,0,2,3,1,0
cdt-2,4,17,4,6,7,2
T01C3.2,3,0,5,1,2,0
fil-1,9,4,2,3,1,2
mut-15,25,26,19,10,14,11
T01D3.1,48,58,38,21,21,34
T01D3.3,30,42,34,40,41,36
zipt-9,9,6,4,7,9,4
T01D3.6,113,140,150,68,90,69
T01E8.1,20,55,39,31,35,10
nrde-2,43,28,43,46,52,23
mrps-14,11,13,18,18,14,9
T01G1.2,5,29,13,10,8,14
sec-31,27,29,26,12,16,24
T01G5.1,3,2,0,8,9,5
ugt-30,1,0,0,1,1,1
T01G9.2,5,2,9,8,9,5
dma-1,5,5,2,7,4,5
T01H3.2,15,11,21,15,13,9
T01H3.3,21,33,37,23,19,23
rskn-1,27,39,57,24,33,27
T01H8.2,2,6,4,7,12,1
lyst-1,7,11,7,5,8,7
T02B5.3,4,3,4,3,4,2
snpc-3.4,2,1,2,2,4,0
tftc-5,9,8,17,5,1,0
npr-26,0,4,1,7,5,10
T02D1.8,28,19,17,16,35,24
T02E1.2,5,18,13,14,3,2
T02E1.8,2,0,1,0,1,0
dop-5,11,17,17,6,16,3
T02E9.5,5,8,14,10,7,5
mrps-12,26,58,30,21,33,23
sbt-1,64,63,103,77,85,38
T03D8.6,5,8,16,14,6,2
qdpr-1,36,45,29,39,40,24
T03F6.3,1,3,1,0,8,3
T03F6.4,8,18,2,1,0,4
T03F7.7,10,3,1,2,5,0
nifk-1,21,44,75,26,37,17
T04A8.7,52,67,66,49,51,23
T04A8.8,0,0,3,7,4,5
sel-13,7,4,10,6,1,4
mrpl-16,21,4,14,16,3,6
T04B2.3,4,1,6,0,3,4
ipla-7,51,26,40,40,27,17
nlp-80,8,21,21,6,10,7
T04C12.7,1,0,0,0,2,0
T04C12.8,0,0,1,3,0,4
pde-1,13,14,22,8,6,13
T04F3.1,125,97,114,80,101,88
T04F3.2,0,2,1,3,5,0
T04F3.4,4,1,2,3,2,3
sfxn-1.5,14,15,15,6,11,7
T04F8.2,5,6,7,8,7,4
T04F8.6,5,19,22,7,7,7
T04F8.7,13,9,24,8,11,2
T04F8.8,16,18,30,31,43,18
T04H1.2,37,37,28,10,18,9
ttr-22,0,0,2,0,1,0
T04H1.5,4,2,6,3,1,2
ugt-56,6,3,6,2,3,0
lron-14,3,4,13,1,0,0
T05B9.1,8,1,3,3,3,2
aldo-1,147,122,175,127,187,106
T05E11.2,0,2,0,3,0,1
enpl-1,442,404,525,522,495,350
imp-2,30,39,28,53,38,32
hpo-4,10,9,5,1,6,5
T05E11.8,2,0,2,2,0,1
T05E12.6,5,10,11,13,13,6
nra-2,68,66,81,62,61,58
T05F1.4,5,1,3,6,2,2
T05F1.11,21,12,8,20,11,4
T05F1.13,8,0,7,5,3,0
T05G5.1,24,19,35,20,20,17
T05G5.5,7,14,5,2,14,3
vps-53,15,15,17,11,8,7
gcc-2,11,2,14,9,7,4
T05H10.1,117,84,113,75,76,50
pdha-1,100,112,122,112,121,89
gpcp-2,93,108,118,112,88,67
cgt-1,34,8,28,15,22,20
nhr-213,0,2,4,3,4,7
srap-1,405,550,511,380,481,342
cox-15,18,18,32,16,30,11
cchl-1,29,39,42,31,39,18
fndc-1,2,4,0,0,2,0
T06D8.9,17,23,19,11,27,12
T06D8.10,0,0,0,5,8,10
rsbp-1,17,36,39,7,17,10
chaf-1,9,4,12,13,21,6
T06E6.1,56,59,73,37,46,30
acl-2,5,0,2,4,6,7
T06G6.3,6,6,6,3,3,4
umps-1,4,3,8,24,17,11
T07C4.3,7,5,15,10,9,4
ttr-15,120,75,117,104,115,55
sas-7,20,13,9,3,10,8
ugt-50,11,11,14,27,6,9
ttr-46,25,24,23,22,13,9
anmt-3,11,11,1,20,19,9
npr-20,4,2,0,1,6,1
T07D4.2,9,3,9,6,16,1
ddx-19,9,16,24,6,36,21
flp-33,3,1,2,3,3,1
anp-1,2,8,7,9,6,1
T07F10.3,4,11,2,16,5,3
bus-19,3,4,2,5,2,1
T08A11.1,34,23,31,30,26,20
sftb-1,48,63,61,50,56,45
vps-39,26,79,42,40,28,25
T08G11.1,309,213,301,232,278,196
T08G11.4,20,14,12,14,9,2
T09A5.4,7,9,5,4,11,1
T09A5.5,18,53,22,20,28,30
mdmh-35,1,0,2,1,1,0
cec-3,5,26,5,1,7,0
sds-22,5,2,3,11,3,4
ostb-1,56,53,103,48,44,56
ztf-17,50,80,48,54,59,43
T09A5.15,0,1,0,0,0,2
T09B9.3,6,8,8,7,9,7
T09B9.4,5,7,1,0,2,5
noca-1,48,45,51,44,56,14
cni-1,13,17,9,9,13,4
ztf-27,6,15,7,8,8,4
T09F3.2,18,21,17,15,18,13
T09F3.5,4,3,10,2,2,2
cyp-13A5,11,8,9,7,4,7
cyp-13A6,2,1,0,5,2,0
cyp-13A2,12,10,11,3,10,0
ucr-2.2,54,65,77,67,62,40
T10B10.3,19,16,22,11,6,12
T10B10.4,7,16,13,11,12,19
phat-6,7,26,18,9,11,15
T10B10.8,2,1,4,4,3,3
cwc-15,29,15,23,15,26,18
T10C6.6,9,6,3,5,9,9
T10G3.1,9,12,4,8,8,2
T10G3.3,16,7,29,5,7,2
eea-1,33,18,30,20,26,15
T11B7.5,9,1,4,1,3,1
T11F9.12,4,9,3,13,3,7
T11G6.2,14,3,12,5,7,1
T11G6.3,4,5,3,4,8,1
T11G6.4,7,1,7,8,8,2
T11G6.5,26,34,45,28,38,6
rbm-22,33,33,39,24,26,26
T12A7.2,3,8,30,19,21,4
lips-5,6,4,10,4,3,2
lpr-2,3,7,4,3,2,3
T12A7.6,0,0,0,0,3,1
set-16,138,158,152,114,143,93
drr-2,38,45,44,33,38,29
acbp-5,2,4,1,0,0,0
arrd-17,18,19,28,11,25,7
T12D8.5,3,4,8,5,5,0
mlc-5,22,31,38,26,32,31
hip-1,57,47,46,69,66,41
T12D8.9,169,152,183,125,126,109
sqst-1,170,119,150,120,131,98
T12G3.2,27,43,52,44,41,37
T12G3.4,3,2,3,4,3,2
mrpl-51,16,9,21,19,51,19
tgn-38,13,10,13,7,6,7
T13F2.2,5,0,5,1,6,2
sna-2,22,17,24,6,3,2
T13H5.1,17,24,23,14,13,9
ctg-2,18,14,11,13,15,11
T13H5.4,38,38,49,30,27,23
mrps-18B,21,30,19,11,19,6
T13H5.6,10,10,11,9,4,9
T13H5.8,7,11,16,5,9,9
T14B1.1,30,23,32,31,22,19
agxt-1,9,18,8,20,23,8
oac-46,4,16,17,36,35,13
T14G8.3,103,71,83,60,98,44
ttr-53,3,0,6,1,2,2
ttr-54,1,0,0,0,0,0
T14G10.5,106,92,116,86,117,85
hpo-5,7,5,3,9,4,5
nep-21,9,18,7,20,7,4
T16G1.4,8,4,7,1,1,3
T16G1.6,8,11,11,0,2,1
T16G1.7,6,4,8,1,1,2
T16G1.9,19,11,29,6,20,10
T16G12.1,102,153,152,90,104,73
ekl-6,14,10,27,9,12,10
T16G12.6,15,15,10,6,14,13
T16H12.3,7,7,5,3,4,3
gtf-2H2C,2,6,5,5,4,3
bath-43,16,9,19,8,9,11
T16H12.9,17,5,7,3,14,8
T18D3.1,10,2,7,0,8,3
cdf-2,14,14,9,5,14,3
T18D3.7,12,2,0,4,6,2
T19A6.1,26,40,46,19,25,23
nepr-1,5,2,1,2,6,1
T19A6.4,3,1,0,0,2,2
cyp-29A2,7,6,18,9,8,3
T19B10.2,2,8,19,26,64,22
bgal-1,5,1,9,3,8,3
T19B10.5,8,3,4,9,15,10
T19B10.8,7,9,14,8,5,0
T19C4.1,23,20,21,26,26,23
T19C4.5,7,3,9,8,3,0
T19C9.8,4,6,13,3,2,5
T19H5.4,30,39,28,36,41,31
T20B3.1,17,15,13,26,23,10
T20B3.14,2,3,0,0,0,0
T20D3.2,84,86,142,59,84,63
coa-4,16,12,12,7,15,5
T20D3.5,3,2,4,0,0,4
T20D3.6,10,5,5,0,2,7
T20D3.8,1,0,5,2,4,2
T20F10.2,6,15,16,4,14,3
chc-1,366,417,363,270,343,323
best-18,11,7,3,10,5,4
dod-6,43,26,55,37,49,21
T20G5.9,4,2,4,3,4,2
blos-1,0,0,0,0,0,1
cox-14,2,3,13,7,7,3
ador-1,3,0,5,12,4,5
pho-7,5,3,2,6,6,0
T21B6.3,280,311,366,247,309,189
mrpl-50,39,64,77,48,49,46
enol-1,384,648,535,393,414,358
T21B10.3,43,44,43,25,24,11
set-17,2,7,5,5,9,9
cutl-15,3,6,5,4,3,5
mics-1,13,10,8,5,7,17
del-6,47,39,66,80,74,61
erh-1,2,1,0,0,2,0
T21C9.6,17,18,25,21,25,16
ttr-23,0,1,6,1,0,0
scpl-4,36,37,62,51,44,46
hlb-1,30,64,55,26,36,50
T22C1.1,4,17,11,15,1,1
T22C1.3,1,3,10,4,7,6
T22C1.5,1,0,2,4,5,0
T22C1.6,15,4,18,18,15,10
T22C1.11,9,1,3,11,2,3
T22C8.6,6,0,4,10,5,0
T22G5.3,2,0,1,0,0,1
sptl-3,27,27,35,18,26,19
scrm-1,1,8,5,6,6,6
pgrn-1,29,28,39,19,46,25
alh-13,3,9,6,19,21,14
prmt-9,13,29,24,15,28,8
T23B5.3,24,22,28,15,19,36
T23D8.3,150,74,121,80,90,55
ppm-2,36,38,66,38,71,37
cdka-1,13,32,7,23,21,6
T23G5.2,37,14,46,33,10,8
saeg-2,0,12,4,5,15,6
T23G7.2,15,4,4,2,1,3
T23G7.3,102,204,171,97,124,134
pir-1,3,7,3,6,7,6
T23G11.4,0,2,4,1,2,0
rlbp-1,8,13,6,11,7,2
lron-9,6,12,3,12,14,9
T23G11.7,43,21,26,24,20,18
xbx-5,8,23,34,9,17,14
T24B1.1,24,21,47,29,14,12
T24B8.2,10,8,2,5,14,10
T24B8.3,43,21,46,37,47,13
T24B8.4,24,35,46,25,47,22
T24B8.5,3,0,1,2,3,0
T24B8.7,115,97,148,90,106,96
T24D1.2,3,8,22,3,7,5
T24D5.2,3,4,1,3,0,1
samp-1,32,45,46,28,31,32
rsf-1,12,11,16,9,14,2
nlp-51,18,23,25,22,15,21
T24H10.1,7,13,17,11,15,11
T24H10.4,2,15,15,7,20,12
dyrb-1,4,1,5,9,0,4
1-Jun,21,42,54,40,27,26
T25B9.1,13,7,13,13,9,10
T25B9.3,0,0,0,0,0,0
ugt-54,7,5,7,5,4,8
T25B9.8,3,1,7,3,3,1
T25B9.9,74,96,77,70,74,45
inpp-1,3,5,6,4,4,8
T25C12.3,716,902,965,622,678,598
dkf-2,56,54,57,79,82,55
T25G3.1,0,0,0,0,2,0
T25G3.3,78,54,53,63,57,56
T25G3.4,60,75,49,50,63,41
T26C5.2,0,0,0,5,15,9
T26C5.3,11,32,21,16,42,5
T26C5.4,0,2,0,3,0,0
T26E3.4,21,25,20,24,4,12
T26G10.1,49,62,41,25,24,19
cpd-2,9,7,16,14,13,0
npr-15,0,6,6,3,2,1
T27D12.1,30,23,36,49,67,37
T27E9.2,16,17,11,15,15,11
abcf-2,434,509,490,371,395,356
sipa-1,57,74,89,52,36,30
zip-10,4,0,0,2,0,2
sygl-1,4,11,2,5,4,4
T27F6.6,20,8,12,12,19,8
T27F6.7,5,2,2,0,1,7
T27F6.8,7,12,8,3,2,2
T28B8.1,76,47,45,81,82,69
T28B8.3,2,5,7,2,3,5
T28B11.1,99,100,95,102,106,84
grsp-2,1,2,4,0,6,2
T28C6.7,151,134,175,127,159,109
T28D6.4,9,14,18,14,19,14
T28D6.5,18,40,51,19,32,31
T28D6.6,21,31,26,17,34,20
T28D6.7,6,4,30,10,2,5
nra-1,17,25,13,11,25,12
slc-17.4,6,5,5,9,10,11
T28F3.5,2,4,3,6,4,7
T28F3.8,16,8,10,12,12,20
T28F4.1,29,49,40,20,23,32
T28F4.4,15,11,12,8,10,3
T28F4.5,33,31,33,63,74,12
T28H10.2,8,11,10,9,11,6
T28H10.3,41,44,41,42,41,22
inos-1,110,111,136,74,113,81
VF13D12L.3,17,16,30,24,26,11
syx-17,5,5,1,3,6,0
cnc-10,0,0,1,1,3,1
ebp-2,6,7,1,6,4,4
adbp-1,8,2,14,0,2,2
ucr-2.1,161,140,184,118,129,84
sek-6,1,2,6,2,2,0
nuo-6,41,48,65,36,59,35
tofu-5,7,1,2,2,5,0
W01B6.3,2,2,12,3,3,1
glb-27,0,0,0,1,5,3
W01D2.1,9,6,17,17,14,5
osta-3,11,45,22,22,29,19
mnr-1,8,9,12,9,5,1
W01F3.2,9,4,4,6,7,1
mlt-11,0,2,2,144,182,71
rpb-11,6,5,5,2,10,0
W01G7.4,6,6,9,2,7,4
W02A11.1,10,11,21,13,12,12
vps-25,9,10,10,11,19,13
toe-4,33,32,29,40,42,18
W02B8.1,5,1,4,5,8,0
W02B8.2,4,3,9,4,9,12
W02B12.1,11,7,11,5,13,2
rga-1,8,8,14,6,5,6
mfn-1,22,13,19,21,17,24
W02B12.10,14,7,10,12,11,3
W02B12.11,16,13,22,8,13,17
W02D9.2,4,22,19,17,11,8
W02D9.10,17,26,24,27,18,9
W03C9.5,0,2,2,3,0,0
W03C9.6,0,6,3,3,2,2
W03G11.3,1,1,0,1,3,2
W03G11.4,42,20,21,32,26,29
cacn-1,12,10,16,6,14,12
W04A4.5,32,17,22,5,15,15
W04A4.6,0,3,0,0,1,0
W04A8.6,7,19,9,9,10,13
W04D2.4,5,6,3,1,10,2
mrps-11,66,136,100,77,57,70
rbm-25,40,34,54,35,44,33
clec-49,8,7,1,12,9,6
W04E12.7,3,6,4,12,8,3
clec-50,117,219,217,138,183,123
lpr-6,0,0,0,5,8,3
lpr-5,0,0,4,18,10,2
lpr-4,0,0,0,4,7,0
W04G3.5,17,31,23,16,14,16
sulp-7,6,6,5,5,7,2
lpr-3,0,0,0,18,24,15
dhc-4,9,3,3,5,5,2
W05B5.1,44,83,48,37,45,29
his-74,3,2,5,3,4,2
ccch-3,4,13,5,3,1,3
W05B10.4,0,0,0,4,4,0
W05E10.1,0,1,5,5,0,1
W05E10.5,0,1,0,0,2,0
W05H12.1,51,12,36,39,45,17
W06A7.2,11,17,32,17,16,4
prmt-7,21,20,20,7,21,21
W06F12.2,28,39,23,14,30,14
immt-2,1,5,0,5,7,1
ctps-1,52,53,50,57,60,33
ztf-6,20,42,47,21,26,32
ipla-3,13,33,24,4,12,11
W07A12.4,0,3,1,6,13,1
rhy-1,0,0,5,1,5,5
W07E11.1,39,59,59,57,74,49
zip-3,11,18,17,10,16,11
W07G4.3,35,32,29,23,44,18
W07G4.5,33,51,38,21,27,20
dct-15,1,5,2,2,3,3
catp-6,42,48,43,35,30,25
mtr-4,78,71,91,40,65,59
W08E3.2,50,71,88,55,59,44
ola-1,119,137,152,108,90,68
W08G11.3,12,5,7,7,8,1
pptr-1,36,29,37,32,37,16
W09C5.1,176,112,182,119,126,76
dkf-1,9,29,29,20,19,21
W09C5.7,11,9,8,10,9,10
cox-4,129,160,156,140,188,112
W09D6.5,10,5,23,17,4,2
W09D10.1,24,18,49,20,34,17
tat-3,36,19,44,27,25,16
mrpl-12,73,134,108,78,101,88
W09D10.4,17,21,24,17,14,9
zmp-4,8,1,7,10,6,2
W09G3.1,1,6,0,9,4,11
maea-1,12,8,10,12,4,8
W09G3.6,35,31,36,24,28,22
W09G3.7,5,1,2,2,3,4
W09G3.8,0,0,0,0,0,0
mecr-1,29,20,29,23,28,15
nduf-7,19,26,38,35,51,20
Y2H9A.4,5,7,0,8,8,3
ttr-16,355,285,340,327,313,154
ttr-17,14,14,38,10,16,5
Y5F2A.4,2,2,5,5,11,0
agef-1,74,81,107,71,66,83
Y6B3B.4,35,23,28,34,27,22
gpap-1,4,0,15,3,3,2
Y6B3B.9,15,26,17,20,18,6
Y6D1A.1,9,18,6,4,18,6
Y6D1A.2,0,0,0,4,3,0
Y7A5A.1,41,61,60,39,42,10
Y7A9A.1,8,15,10,9,9,5
Y9C2UA.1,5,10,13,12,4,1
Y10G11A.1,9,5,6,5,2,3
Y11D7A.3,0,0,5,0,2,0
Y11D7A.9,0,0,0,3,2,0
Y11D7A.10,9,4,5,4,16,3
nmy-3,12,8,13,12,16,15
Y12A6A.1,5,0,1,0,0,3
Y15E3A.4,46,49,75,60,76,40
Y15E3A.5,4,3,8,15,17,5
Y16B4A.2,361,495,567,333,362,289
ash-2,17,7,4,12,27,18
Y17G7B.3,0,0,4,7,0,0
dhps-1,4,14,8,3,5,3
glb-29,1,0,1,1,1,4
Y17G7B.8,0,5,3,7,6,6
Y17G7B.10,14,24,17,8,14,8
arrd-7,6,5,2,4,5,2
Y17G7B.12,12,10,13,6,5,13
ippk-1,15,12,11,13,14,9
Y17G7B.17,56,45,42,61,67,24
Y17G7B.18,7,0,5,3,1,4
Y17G7B.20,138,128,179,74,115,57
Y17G7B.21,43,42,49,12,14,15
attf-6,45,24,26,10,18,9
mxt-1,23,20,32,17,8,22
Y18D10A.9,7,10,10,9,10,8
coa-5,2,0,4,0,4,0
car-1,31,23,45,23,39,8
nhr-232,11,1,5,0,4,3
Y24F12A.1,2,9,10,5,4,0
ragc-1,17,14,27,29,15,5
Y32B12B.2,21,8,16,12,30,6
Y32B12B.4,12,9,16,10,11,8
pap-1,52,64,56,32,33,26
Y32F6A.4,33,65,64,22,35,49
Y32F6A.5,99,189,188,97,142,81
Y32F6B.1,40,31,45,35,26,20
Y37A1A.2,1,0,2,3,4,1
Y37A1A.3,4,0,2,2,0,7
Y37A1B.5,20,21,11,15,16,2
nkcc-1,29,22,55,47,41,15
Y37D8A.2,41,34,46,48,51,24
Y37D8A.3,1,2,0,6,9,1
Y37D8A.4,13,0,9,14,7,3
Y37D8A.6,12,36,36,14,15,7
spcs-2,16,26,31,12,29,27
cec-7,2,5,7,3,7,6
cox-5A,147,204,226,149,183,144
Y37D8A.16,9,13,6,22,8,17
npp-25,17,18,26,19,37,21
mrps-10,33,32,26,26,22,18
rbm-7,8,3,3,3,5,2
epg-3,38,74,57,31,61,45
Y37H2A.1,7,4,7,4,9,5
Y37H9A.1,4,5,5,12,5,3
Y37H9A.3,19,34,37,26,35,37
clec-8,1,0,5,0,0,0
clec-4,14,25,25,8,16,14
ceh-100,29,31,16,27,36,12
lips-15,2,5,5,1,1,4
nspe-1,10,15,19,23,20,14
nspe-5,4,3,0,6,1,2
Y38E10A.20,1,5,0,3,3,5
Y38E10A.22,82,97,101,92,52,71
Y38E10A.24,0,3,2,2,2,1
nspe-2,1,1,6,6,6,5
Y38F1A.2,9,15,9,6,14,8
hphd-1,158,218,272,145,165,100
Y38F1A.8,3,6,0,4,6,2
dct-16,166,147,197,102,151,78
fbxa-150,2,5,3,2,4,2
Y38H6C.16,3,0,1,1,0,1
slc-36.3,1,5,2,3,0,0
Y38H6C.20,6,4,4,4,9,4
epg-6,15,9,13,24,29,6
Y39A1A.3,15,9,18,6,8,7
rabx-5,13,13,6,14,8,7
mrpl-22,23,17,27,17,9,1
lron-10,2,2,6,5,7,2
swt-4,2,6,2,4,1,1
Y39A1A.9,22,39,24,24,28,41
orc-1,1,1,2,6,6,1
Y39A1A.14,10,4,17,8,2,1
Y39A1A.20,0,0,1,0,0,0
Y39A1A.21,3,12,2,2,3,0
Y39A1A.22,17,21,33,18,28,13
hex-3,14,7,17,8,13,9
Y39B6A.1,95,86,161,134,156,80
pph-5,18,6,12,11,16,10
Y39B6A.3,2,0,5,2,1,1
Y39B6A.5,3,1,1,1,2,0
bed-1,11,8,10,11,14,1
Y39B6A.13,0,4,3,2,0,2
pro-3,123,100,131,104,86,60
Y39B6A.27,2,3,1,5,0,0
