gene_symbol,Aux_rep1_RNA,Aux_rep2_RNA,Aux_rep3_RNA,noAux_rep1_RNA,noAux_rep2_RNA,noAux_rep3_RNA
csk-1,22,38,21,12,28,17
csn-1,27,17,7,17,23,9
csn-2,14,5,10,8,4,6
csn-3,29,23,22,11,17,18
csn-4,17,14,15,17,6,8
csn-5,2,5,6,10,4,8
csn-6,8,11,36,14,11,7
csq-1,163,95,150,166,112,79
ctb-1,390,279,420,283,313,219
ctl-2,26,48,47,40,35,29
ctn-1,41,40,31,25,35,24
cts-1,413,608,563,474,527,355
cua-1,40,48,34,28,32,26
cuc-1,0,0,0,2,0,0
cul-1,44,70,41,38,34,31
cul-2,31,38,39,40,25,27
cul-3,50,79,71,48,43,58
cul-4,29,42,32,29,41,23
cul-5,26,6,14,19,10,11
cul-6,1,2,5,0,0,1
cup-2,15,15,16,29,18,9
cup-4,8,4,4,2,6,6
cup-5,5,14,15,4,4,10
cux-7,18,17,13,8,20,17
cwn-1,10,7,9,6,13,6
cwn-2,9,6,3,2,5,6
cya-1,4,1,9,1,13,8
cyb-1,1,2,8,2,7,1
cyb-3,13,20,24,18,27,13
cyc-1,137,122,120,124,95,55
cyd-1,10,16,9,9,4,4
cye-1,3,2,1,1,1,2
cyk-1,27,14,21,23,14,13
cyk-3,45,24,29,35,19,21
cyk-4,14,4,13,11,22,11
cyl-1,27,24,19,22,24,21
cyn-1,80,60,94,76,83,53
cyn-3,49,33,59,50,63,43
cyn-4,12,9,24,10,7,3
cyn-5,63,40,79,90,90,33
cyn-6,7,7,7,8,16,5
cyn-7,150,119,160,187,192,93
cyn-8,13,8,11,16,5,5
cyn-10,4,0,6,0,0,0
cyn-11,7,1,1,1,4,0
cyn-12,9,10,18,11,5,6
cyn-13,22,27,21,10,23,3
sig-7,20,7,13,7,10,1
cyn-15,13,30,21,8,15,12
cyn-16,17,6,10,13,6,6
dab-1,21,35,30,41,40,27
dad-1,16,23,19,27,21,25
daf-1,28,31,34,26,20,14
daf-2,145,144,130,79,112,79
daf-3,38,76,79,47,63,49
daf-4,42,27,30,16,22,31
daf-5,197,300,299,173,258,172
daf-7,28,29,33,36,28,21
daf-8,12,12,11,6,8,4
daf-12,15,17,32,12,31,17
daf-14,20,8,20,17,7,14
daf-15,99,99,120,81,105,64
daf-16,104,153,120,53,87,50
daf-18,20,14,25,16,25,22
daf-19,39,28,48,17,18,26
hsp-90,1501,1312,1366,1880,1801,1250
daf-25,7,3,7,7,4,1
daf-28,4,9,5,3,9,2
daf-31,14,26,19,16,26,11
dao-2,0,2,0,19,25,9
dao-3,4,1,6,3,3,5
dao-5,239,226,208,131,167,134
dap-3,26,79,48,46,46,39
dat-1,8,8,13,9,5,2
daz-1,3,4,3,0,8,5
dbl-1,22,14,14,20,29,6
dbr-1,10,10,12,9,9,4
dcp-66,61,43,56,51,40,18
dcr-1,56,61,60,43,58,56
dcs-1,11,11,9,9,0,5
ddp-1,22,60,37,47,33,21
deb-1,348,307,385,331,361,251
deg-3,2,1,3,5,2,2
del-2,5,4,6,1,3,4
des-2,0,3,12,5,4,0
dgk-1,13,22,41,21,18,27
dgk-2,3,15,18,12,5,12
dgk-3,4,5,2,1,4,1
dgn-1,23,26,43,32,26,25
dhc-1,771,738,765,548,543,501
dhp-1,12,5,14,29,12,7
dhp-2,22,30,28,18,29,10
dhs-1,11,5,5,2,2,1
dhs-2,6,3,1,5,5,1
dhs-3,10,16,20,15,24,16
dhs-4,2,0,2,2,7,3
dhs-5,4,13,11,8,4,6
dhs-6,30,20,29,24,25,14
dhs-9,29,32,57,45,39,15
dhs-12,13,9,7,11,15,14
dhs-13,26,33,40,26,31,14
dhs-14,0,0,5,0,1,2
dhs-15,2,0,3,2,1,4
dhs-17,9,15,19,16,15,6
dhs-18,10,36,31,27,16,19
dhs-19,2,4,1,1,3,1
dhs-20,1,6,2,8,3,3
dhs-21,5,1,0,11,3,4
dhs-22,23,37,28,19,16,12
dhs-23,6,6,0,1,5,1
dhs-24,17,20,19,12,15,17
dhs-25,29,24,22,21,22,15
dhs-27,4,2,10,7,8,2
dhs-28,62,104,87,57,81,43
dhs-29,9,1,3,6,9,9
dhs-30,10,3,9,8,5,3
dic-1,8,7,14,2,15,2
die-1,7,18,6,11,9,8
dif-1,9,18,15,11,19,11
dig-1,1303,1300,1380,932,1036,955
dim-1,161,293,252,181,205,170
dis-3,68,29,66,25,24,25
div-1,7,27,16,6,23,10
dlc-1,26,25,39,36,38,12
dlg-1,98,106,99,85,112,90
dli-1,33,48,61,36,44,36
dlk-1,47,88,83,63,36,38
dna-2,7,3,9,6,6,3
dnc-1,54,47,61,41,62,28
dnc-2,6,9,13,7,9,12
dnj-1,5,4,16,16,9,7
dnj-2,1,6,4,2,8,4
dnj-5,94,181,165,106,128,124
dnj-7,36,20,22,30,20,10
dnj-8,12,9,27,16,9,12
dnj-9,24,30,37,33,36,18
dnj-10,63,60,84,54,61,26
dnj-11,36,15,45,10,18,5
dnj-12,157,149,199,192,167,153
dnj-13,250,283,294,213,265,176
dnj-14,8,23,19,21,13,7
dnj-15,0,7,6,2,5,3
dnj-16,12,7,9,12,12,6
dnj-17,13,3,15,8,20,8
dnj-18,8,11,8,13,9,13
dnj-19,107,124,134,168,161,112
dnj-20,27,9,33,18,33,11
dnj-21,2,3,4,1,2,3
dnj-22,6,0,5,1,0,0
dnj-23,6,6,11,17,23,2
dnj-24,22,19,30,31,48,8
dnj-25,24,24,36,10,11,14
dnj-27,18,10,12,9,15,19
dnj-28,5,0,1,1,3,2
dnj-29,77,85,103,69,100,48
dnj-30,11,18,9,10,5,8
dog-1,5,16,11,10,28,10
dom-3,0,0,1,1,6,0
cks-1,1,1,7,3,3,0
dop-1,11,26,11,5,11,8
dop-2,4,14,6,2,8,4
dpf-1,13,4,14,12,7,13
dpf-2,9,9,11,4,12,4
dpf-3,50,62,56,31,58,31
dpf-4,30,25,23,19,30,24
dpf-5,29,64,41,35,42,21
dpf-6,2,1,5,6,3,9
dpf-7,13,6,27,8,10,11
dpl-1,5,4,19,7,13,9
dpy-2,0,0,1,3,9,2
dpy-3,0,0,0,4,8,4
dpy-4,0,1,1,47,34,21
dpy-5,0,0,0,45,50,9
dpy-6,40,32,62,101,108,75
dpy-7,0,0,0,15,11,9
dpy-8,1,0,0,40,40,27
dpy-9,0,0,0,4,7,1
dpy-10,0,0,0,9,17,5
dpy-11,7,25,20,13,31,25
dpy-13,0,0,1,65,69,12
dpy-18,29,43,20,35,40,21
dpy-19,5,3,3,8,1,2
dpy-21,205,163,191,166,186,125
dpy-22,98,59,113,65,55,47
dpy-23,19,21,26,18,30,19
dpy-26,64,62,69,45,44,30
dpy-27,62,43,60,67,57,51
dpy-28,35,45,44,49,51,31
dpy-30,2,3,3,10,6,11
dre-1,48,78,90,56,63,62
drh-1,7,15,9,21,11,14
dro-1,2,1,4,2,2,0
drp-1,29,22,40,23,20,22
dars-1,80,50,80,56,73,54
dars-2,12,5,8,5,1,4
dsc-4,85,139,128,92,105,63
dsh-1,26,37,26,24,33,23
dsh-2,4,15,9,6,5,5
duo-3,7,7,9,11,6,5
dur-1,52,27,74,44,57,23
dyb-1,11,16,12,8,21,14
dyc-1,23,23,39,22,23,13
dyf-1,0,4,5,1,2,3
dyf-2,10,10,6,2,10,8
dyf-6,2,3,4,9,6,3
dyn-1,89,73,90,64,83,37
dys-1,259,291,266,260,269,228
alp-1,56,67,51,45,53,38
eat-3,56,59,72,45,36,20
